,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G-TP,TP,TPint,TA,TR,Gls./90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Partidos,Temporada,Equipo
434,David Lombán,es ESP,DF,30,13,11,995,11.1,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Partidos,2017-2018,Eibar
435,Pedro León,es ESP,"DL,CC",30,12,10,930,10.3,0,4,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,1.3,1.3,2.0,3.3,0.12,0.20,0.32,0.12,0.32,Partidos,2017-2018,Eibar
436,David Juncà,es ESP,DF,23,15,10,900,10.0,0,3,0,0,0,3,0,0.00,0.30,0.30,0.00,0.30,0.0,0.0,1.4,1.5,0.00,0.14,0.15,0.00,0.15,Partidos,2017-2018,Eibar
437,Álex Gálvez,es ESP,DF,28,4,4,360,4.0,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.2,0.2,0.0,0.2,0.04,0.00,0.05,0.04,0.05,Partidos,2017-2018,Eibar
438,Bebé,pt POR,"CC,DL",27,9,3,365,4.1,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.8,1.1,0.06,0.21,0.27,0.06,0.27,Partidos,2017-2018,Eibar
439,Cristian Rivera,es ESP,CC,20,7,2,247,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.05,0.01,0.05,Partidos,2017-2018,Eibar
440,Asier Riesgo,es ESP,PO,33,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Eibar
441,Yoel,es ESP,PO,28,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Eibar
442,Imanol Sarriegi,es ESP,"CC,DL",22,3,0,43,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Eibar
443,Markel Areitio,es ESP,PO,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Eibar
444,Vukašin Jovanović,rs SRB,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Eibar
445,Ángel López,es ESP,CC,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Eibar
446,Xesc Regis,es ESP,DL,20,0,0,,,,,,0,0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,Partidos,2017-2018,Eibar
447,Iván Cuéllar,es ESP,PO,33,35,35,"3,150",35.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Leganés
448,Javier Eraso,es ESP,"CC,DL",27,34,31,"2,527",28.1,4,3,4,0,0,4,0,0.14,0.11,0.25,0.14,0.25,3.9,3.9,3.0,6.8,0.14,0.10,0.24,0.14,0.24,Partidos,2017-2018,Leganés
449,Joseba Zaldúa,es ESP,DF,25,30,29,"2,556",28.4,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,0.9,0.9,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Partidos,2017-2018,Leganés
450,Rubén Pérez,es ESP,CC,28,31,29,"2,513",27.9,0,0,0,0,0,13,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,1.3,0.01,0.04,0.05,0.01,0.05,Partidos,2017-2018,Leganés
451,Gabriel,br BRA,CC,23,29,28,"2,370",26.3,5,2,4,1,1,6,0,0.19,0.08,0.27,0.15,0.23,5.1,4.3,2.2,6.5,0.19,0.08,0.27,0.16,0.24,Partidos,2017-2018,Leganés
452,Diego Rico,es ESP,DF,24,26,26,"2,228",24.8,2,2,2,0,0,9,2,0.08,0.08,0.16,0.08,0.16,1.7,1.7,3.6,5.3,0.07,0.15,0.22,0.07,0.22,Partidos,2017-2018,Leganés
453,Dimitris Siovas,gr GRE,DF,28,24,24,"2,051",22.8,1,1,1,0,0,9,2,0.04,0.04,0.09,0.04,0.09,1.5,1.5,0.7,2.1,0.06,0.03,0.09,0.06,0.09,Partidos,2017-2018,Leganés
454,Nabil El Zhar,ma MAR,"DL,CC",30,30,20,"2,005",22.3,2,1,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,3.2,3.2,2.3,5.4,0.14,0.10,0.25,0.14,0.25,Partidos,2017-2018,Leganés
455,Unai Bustinza,es ESP,DF,25,20,18,"1,638",18.2,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,2.8,2.8,0.4,3.1,0.15,0.02,0.17,0.15,0.17,Partidos,2017-2018,Leganés
456,Omar Ramos,es ESP,"DL,CC",29,23,18,"1,421",15.8,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.9,2.4,0.03,0.12,0.15,0.03,0.15,Partidos,2017-2018,Leganés
457,Claudio Beauvue, GPE,DL,29,28,17,"1,671",18.6,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,4.7,4.7,0.9,5.7,0.25,0.05,0.31,0.25,0.31,Partidos,2017-2018,Leganés
458,Nordin Amrabat,ma MAR,"DL,CC",30,30,17,"1,622",18.0,2,1,2,0,0,6,2,0.11,0.06,0.17,0.11,0.17,3.2,3.2,3.1,6.3,0.18,0.17,0.35,0.18,0.35,Partidos,2017-2018,Leganés
459,Ezequiel Muñoz,ar ARG,DF,26,19,17,"1,406",15.6,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Partidos,2017-2018,Leganés
460,Gerard Gumbau,es ESP,CC,22,25,16,"1,441",16.0,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.3,1.1,0.05,0.02,0.07,0.05,0.07,Partidos,2017-2018,Leganés
461,Miguel Ángel Guerrero,es ESP,DL,27,22,15,"1,445",16.1,4,3,4,0,1,3,0,0.25,0.19,0.44,0.25,0.44,5.0,4.2,1.7,5.9,0.31,0.11,0.42,0.26,0.37,Partidos,2017-2018,Leganés
462,Raúl García,es ESP,DF,28,19,15,"1,394",15.5,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,1.5,1.8,0.02,0.09,0.12,0.02,0.12,Partidos,2017-2018,Leganés
463,Darko Brašanac,rs SRB,"CC,DL",25,23,13,"1,204",13.4,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.9,1.9,0.6,2.4,0.14,0.04,0.18,0.14,0.18,Partidos,2017-2018,Leganés
464,Alexander,ar ARG,"DL,CC",28,13,13,"1,056",11.7,2,2,1,1,1,1,0,0.17,0.17,0.34,0.09,0.26,2.7,2.0,2.3,4.3,0.23,0.19,0.42,0.17,0.36,Partidos,2017-2018,Leganés
465,Martín Mantovani,ar ARG,DF,33,13,10,"1,021",11.3,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.1,1.0,0.08,0.01,0.09,0.08,0.09,Partidos,2017-2018,Leganés
466,Mauro dos Santos,ar ARG,DF,28,14,10,986,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Partidos,2017-2018,Leganés
467,Tito,es ESP,DF,32,9,6,613,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.04,0.00,0.04,Partidos,2017-2018,Leganés
468,Naranjo,es ESP,"DL,CC",23,16,6,567,6.3,1,1,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,0.9,0.9,0.5,1.4,0.15,0.07,0.22,0.15,0.22,Partidos,2017-2018,Leganés
469,Erik Morán,es ESP,CC,26,6,2,231,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Leganés
470,Nereo Champagne,ar ARG,PO,32,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Leganés
471,Jon Ander Serantes,es ESP,PO,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Leganés
472,Alejandro Gutiérrez Mozo,es ESP,CC,22,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Leganés
473,Jaime Sierra Mateos,es ESP,"DL,CC",19,2,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Leganés
474,Sergio Arribas,es ESP,DL,22,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2017-2018,Leganés
475,Gabri,es ESP,DL,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Leganés
476,Mamadou Koné,ci CIV,DL,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Leganés
477,Leonardo Rocha,pt POR,DL,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Leganés
478,William,br BRA,DL,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Leganés
479,Gerard Moreno,es ESP,DL,25,38,38,"3,411",37.9,16,1,15,1,2,4,0,0.42,0.03,0.45,0.40,0.42,16.0,14.4,3.7,18.1,0.42,0.10,0.52,0.38,0.48,Partidos,2017-2018,Espanyol
480,David López,es ESP,"DF,CC",27,37,37,"3,330",37.0,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,1.4,1.4,0.5,1.8,0.04,0.01,0.05,0.04,0.05,Partidos,2017-2018,Espanyol
481,Sergi Darder,es ESP,CC,23,35,32,"2,778",30.9,1,2,1,0,0,7,0,0.03,0.06,0.10,0.03,0.10,1.4,1.4,2.6,3.9,0.04,0.08,0.13,0.04,0.13,Partidos,2017-2018,Espanyol
482,Aarón Martín,es ESP,DF,20,32,31,"2,816",31.3,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,4.0,4.1,0.01,0.13,0.13,0.01,0.13,Partidos,2017-2018,Espanyol
483,Léo Baptistão,br BRA,"DL,CC",24,36,31,"2,672",29.7,8,3,8,0,0,4,0,0.27,0.10,0.37,0.27,0.37,10.3,10.3,3.7,14.1,0.35,0.12,0.47,0.35,0.47,Partidos,2017-2018,Espanyol
484,Víctor Sánchez,es ESP,"DF,CC",29,30,29,"2,452",27.2,0,2,0,0,0,13,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,0.5,1.2,0.02,0.02,0.04,0.02,0.04,Partidos,2017-2018,Espanyol
485,Pau López,es ESP,PO,22,28,27,"2,478",27.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Espanyol
486,Mario Hermoso,es ESP,DF,22,22,22,"1,928",21.4,1,0,1,0,0,6,2,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.3,1.3,0.05,0.01,0.06,0.05,0.06,Partidos,2017-2018,Espanyol
487,Pablo Piatti,ar ARG,"CC,DL",28,30,22,"1,733",19.3,2,4,1,1,1,0,0,0.10,0.21,0.31,0.05,0.26,3.5,2.7,3.4,6.1,0.18,0.18,0.35,0.14,0.31,Partidos,2017-2018,Espanyol
488,José Manuel Jurado,es ESP,"CC,DL",31,29,20,"1,499",16.7,0,3,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.8,0.8,1.3,2.1,0.05,0.08,0.13,0.05,0.13,Partidos,2017-2018,Espanyol
489,Javi Fuego,es ESP,CC,33,17,17,"1,336",14.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Partidos,2017-2018,Espanyol
490,Sergio García,es ESP,"DL,CC",34,33,14,"1,647",18.3,2,5,2,0,0,4,0,0.11,0.27,0.38,0.11,0.38,4.4,4.4,2.8,7.3,0.24,0.16,0.40,0.24,0.40,Partidos,2017-2018,Espanyol
491,Carlos Sánchez,co COL,CC,31,14,13,"1,122",12.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.5,0.01,0.04,0.04,0.01,0.04,Partidos,2017-2018,Espanyol
492,Javi López,es ESP,DF,31,14,12,965,10.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.05,0.06,0.01,0.06,Partidos,2017-2018,Espanyol
493,Esteban Granero,es ESP,"CC,DL",30,25,11,"1,237",13.7,1,3,1,0,0,5,0,0.07,0.22,0.29,0.07,0.29,0.6,0.6,1.4,2.0,0.04,0.11,0.15,0.04,0.15,Partidos,2017-2018,Espanyol
494,Óscar Duarte,cr CRC,DF,28,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.09,0.00,0.09,0.09,0.09,Partidos,2017-2018,Espanyol
495,Diego López,es ESP,PO,35,11,11,942,10.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Espanyol
496,Marc Navarro,es ESP,DF,22,19,10,"1,110",12.3,1,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,1.0,1.0,0.9,1.9,0.08,0.07,0.15,0.08,0.15,Partidos,2017-2018,Espanyol
497,Naldo,br BRA,DF,28,11,10,920,10.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Partidos,2017-2018,Espanyol
498,Dídac Vilà,es ESP,"DF,CC",28,14,7,735,8.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,2.1,0.06,0.21,0.27,0.06,0.27,Partidos,2017-2018,Espanyol
499,Óscar Melendo,es ESP,"CC,DL",19,18,6,693,7.7,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,0.8,1.3,0.07,0.10,0.17,0.07,0.17,Partidos,2017-2018,Espanyol
500,Papakouli Diop,sn SEN,CC,31,5,3,262,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Partidos,2017-2018,Espanyol
501,Marc Roca,es ESP,CC,20,8,2,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.04,0.01,0.06,0.04,0.06,Partidos,2017-2018,Espanyol
502,Hernán Pérez,py PAR,CC,28,4,1,141,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Partidos,2017-2018,Espanyol
503,Sergio Sánchez,es ESP,DF,31,2,1,102,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Partidos,2017-2018,Espanyol
504,Eduardo Frías Molleda,es ESP,PO,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Espanyol
505,Adrián López ,es ESP,PO,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Espanyol
506,Álvaro Vázquez,es ESP,DL,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Espanyol
507,Portu,es ESP,"DL,CC",25,37,35,"2,981",33.1,11,4,11,0,0,5,0,0.33,0.12,0.45,0.33,0.45,6.9,6.9,5.9,12.8,0.21,0.18,0.38,0.21,0.38,Partidos,2017-2018,Girona
508,Juanpe,es ESP,DF,26,35,34,"3,066",34.1,5,1,5,0,0,7,0,0.15,0.03,0.18,0.15,0.18,1.7,1.7,1.4,3.1,0.05,0.04,0.09,0.05,0.09,Partidos,2017-2018,Girona
509,Borja García,es ESP,"CC,DL",26,37,34,"2,785",30.9,2,5,2,0,0,2,0,0.06,0.16,0.23,0.06,0.23,2.3,2.3,4.0,6.2,0.07,0.13,0.20,0.07,0.20,Partidos,2017-2018,Girona
510,Álex Granell,es ESP,CC,28,34,33,"2,841",31.6,1,5,1,0,1,11,0,0.03,0.16,0.19,0.03,0.19,2.8,2.0,5.8,7.8,0.09,0.18,0.27,0.06,0.25,Partidos,2017-2018,Girona
511,Bernardo Espinosa,co COL,DF,28,34,32,"2,868",31.9,0,3,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,1.9,1.9,0.7,2.5,0.06,0.02,0.08,0.06,0.08,Partidos,2017-2018,Girona
512,Cristhian Stuani,uy URU,DL,30,33,32,"2,688",29.9,21,0,16,5,5,8,0,0.70,0.00,0.70,0.54,0.54,17.3,13.5,0.5,14.1,0.57,0.02,0.59,0.45,0.46,Partidos,2017-2018,Girona
513,Pablo Maffeo,es ESP,"CC,DF",20,33,32,"2,645",29.4,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,1.9,3.0,0.04,0.06,0.10,0.04,0.10,Partidos,2017-2018,Girona
514,Yassine Bounou,ma MAR,PO,26,30,30,"2,655",29.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Girona
515,Pere Pons,es ESP,CC,24,31,30,"2,555",28.4,0,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,1.1,1.1,1.7,2.9,0.04,0.06,0.10,0.04,0.10,Partidos,2017-2018,Girona
516,Jonás Ramalho,es ESP,DF,24,26,25,"2,299",25.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.1,1.6,0.06,0.00,0.06,0.06,0.06,Partidos,2017-2018,Girona
517,Johan Mojica,co COL,"CC,DF",24,30,22,"2,137",23.7,0,4,0,0,0,6,0,0.00,0.17,0.17,0.00,0.17,0.9,0.9,2.4,3.3,0.04,0.10,0.14,0.04,0.14,Partidos,2017-2018,Girona
518,Aday,es ESP,"DF,CC",29,31,20,"1,840",20.4,2,0,1,1,2,10,0,0.10,0.00,0.10,0.05,0.05,2.6,1.1,1.8,2.9,0.13,0.09,0.21,0.06,0.14,Partidos,2017-2018,Girona
519,Marc Muniesa,es ESP,DF,25,13,13,"1,125",12.5,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Partidos,2017-2018,Girona
520,David Timor,es ESP,"CC,DF",27,17,10,930,10.3,2,0,2,0,0,8,0,0.19,0.00,0.19,0.19,0.19,0.9,0.9,0.3,1.1,0.09,0.03,0.11,0.09,0.11,Partidos,2017-2018,Girona
521,Gorka Iraizoz,es ESP,PO,36,9,8,765,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Girona
522,Pedro Alcalá,es ESP,DF,28,8,8,688,7.6,1,0,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,0.8,0.8,0.2,1.0,0.10,0.03,0.13,0.10,0.13,Partidos,2017-2018,Girona
523,Aleix García,es ESP,CC,20,20,7,863,9.6,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.4,0.4,1.1,1.5,0.04,0.12,0.16,0.04,0.16,Partidos,2017-2018,Girona
524,Anthony Lozano,hn HON,"DL,CC",24,14,4,477,5.3,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,1.8,1.8,0.7,2.4,0.34,0.13,0.47,0.34,0.47,Partidos,2017-2018,Girona
525,Michael Olunga,ke KEN,DL,23,14,4,439,4.9,3,0,3,0,0,0,0,0.62,0.00,0.62,0.62,0.62,3.1,3.1,0.7,3.8,0.65,0.15,0.80,0.65,0.80,Partidos,2017-2018,Girona
526,Olarenwaju Kayode,ng NGA,"DL,CC",24,12,2,397,4.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.9,2.2,0.32,0.20,0.52,0.32,0.52,Partidos,2017-2018,Girona
527,Carles Planas,es ESP,"DF,CC",26,5,2,193,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.03,0.23,0.27,0.03,0.27,Partidos,2017-2018,Girona
528,Douglas Luiz,br BRA,"CC,DL",19,15,1,322,3.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.16,0.15,0.31,0.16,0.31,Partidos,2017-2018,Girona
529,Marlos Moreno,co COL,CC,20,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.21,0.21,0.00,0.21,Partidos,2017-2018,Girona
530,Kévin Soni,cm CMR,CC,19,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Girona
531,Eloi Amagat,es ESP,"DL,CC",32,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.74,0.00,1.74,1.74,1.74,Partidos,2017-2018,Girona
532,Marcel Lizak,pl POL,PO,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Girona
533,Juanfran,es ESP,DF,28,35,34,"3,055",33.9,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,1.2,1.2,3.5,4.7,0.04,0.10,0.14,0.04,0.14,Partidos,2017-2018,Deportivo La Coruña
534,Lucas Pérez,es ESP,DL,28,35,31,"2,797",31.1,8,6,5,3,4,3,0,0.26,0.19,0.45,0.16,0.35,9.1,6.0,7.9,14.0,0.29,0.26,0.55,0.19,0.45,Partidos,2017-2018,Deportivo La Coruña
535,Guilherme,br BRA,CC,26,31,31,"2,637",29.3,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,1.4,3.2,0.06,0.05,0.11,0.06,0.11,Partidos,2017-2018,Deportivo La Coruña
536,Luisinho,pt POR,DF,32,30,29,"2,621",29.1,1,1,1,0,1,12,0,0.03,0.03,0.07,0.03,0.07,1.4,0.7,2.1,2.7,0.05,0.07,0.12,0.02,0.09,Partidos,2017-2018,Deportivo La Coruña
537,Rubén,es ESP,PO,33,28,27,"2,480",27.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Deportivo La Coruña
538,Adrián López,es ESP,"DL,CC",29,30,26,"2,343",26.0,9,6,9,0,0,1,0,0.35,0.23,0.58,0.35,0.58,7.6,7.6,5.2,12.8,0.29,0.20,0.49,0.29,0.49,Partidos,2017-2018,Deportivo La Coruña
539,Celso Borges,cr CRC,CC,29,32,26,"2,295",25.5,3,3,3,0,0,4,2,0.12,0.12,0.24,0.12,0.24,3.5,3.5,2.2,5.6,0.14,0.08,0.22,0.14,0.22,Partidos,2017-2018,Deportivo La Coruña
540,Fabian Schär,ch SUI,DF,25,25,25,"2,219",24.7,2,2,2,0,0,10,0,0.08,0.08,0.16,0.08,0.16,3.5,3.5,0.3,3.8,0.14,0.01,0.15,0.14,0.15,Partidos,2017-2018,Deportivo La Coruña
541,Sidnei,br BRA,DF,27,21,21,"1,778",19.8,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,0.6,0.6,0.4,1.0,0.03,0.02,0.05,0.03,0.05,Partidos,2017-2018,Deportivo La Coruña
542,Raúl Albentosa,es ESP,DF,28,20,19,"1,747",19.4,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.1,1.4,0.07,0.00,0.07,0.07,0.07,Partidos,2017-2018,Deportivo La Coruña
543,Emre Çolak,tr TUR,"CC,DL",26,26,17,"1,447",16.1,1,2,1,0,0,4,0,0.06,0.12,0.19,0.06,0.19,1.6,1.6,3.2,4.8,0.10,0.20,0.29,0.10,0.29,Partidos,2017-2018,Deportivo La Coruña
544,Florin Andone,ro ROU,DL,24,29,16,"1,636",18.2,7,3,7,0,0,6,0,0.39,0.17,0.55,0.39,0.55,9.2,9.2,1.0,10.3,0.51,0.06,0.57,0.51,0.57,Partidos,2017-2018,Deportivo La Coruña
545,Pedro Mosquera,es ESP,CC,29,23,16,"1,395",15.5,0,2,0,0,0,7,0,0.00,0.13,0.13,0.00,0.13,1.5,1.5,0.5,2.0,0.10,0.03,0.13,0.10,0.13,Partidos,2017-2018,Deportivo La Coruña
546,Federico Cartabia,ar ARG,"DL,CC",24,20,16,"1,320",14.7,2,1,2,0,0,6,0,0.14,0.07,0.20,0.14,0.20,1.5,1.5,1.9,3.4,0.10,0.13,0.23,0.10,0.23,Partidos,2017-2018,Deportivo La Coruña
547,Federico Valverde,uy URU,"CC,DL",19,24,12,"1,232",13.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.8,1.6,0.06,0.06,0.12,0.06,0.12,Partidos,2017-2018,Deportivo La Coruña
548,Fernando Navarro,es ESP,DF,35,15,11,"1,049",11.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Partidos,2017-2018,Deportivo La Coruña
549,Zakaria Bakkali,be BEL,"DL,CC",21,23,10,914,10.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.6,2.0,0.15,0.06,0.20,0.15,0.20,Partidos,2017-2018,Deportivo La Coruña
550,Michael Krohn-Dehli,dk DEN,CC,34,11,10,726,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.04,0.02,0.04,Partidos,2017-2018,Deportivo La Coruña
551,Eneko Bóveda,es ESP,DF,28,8,7,667,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Partidos,2017-2018,Deportivo La Coruña
552,Costel Pantilimon,ro ROU,PO,30,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Deportivo La Coruña
553,Carles Gil,es ESP,"DL,CC",24,10,6,476,5.3,0,2,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,0.4,0.4,1.0,1.4,0.07,0.20,0.27,0.07,0.27,Partidos,2017-2018,Deportivo La Coruña
